f500_rank,org,sector,industry,employees,website
219,FirstEnergy,Energy,Utilities: Gas and Electric,15617,www.firstenergycorp.com
220,Occidental Petroleum,Energy,"Mining, Crude-Oil Production",11e3,www.oxy.com
221,Viacom,Media,Entertainment,11200,www.viacom.com
222,PayPal Holdings,Business Services,Financial Data Services,18700,www.paypal.com
223,NGL Energy Partners,Energy,Energy,2700,www.nglenergypartners.com
224,Celgene,Health Care,Pharmaceuticals,7467,www.celgene.com
225,Arconic,Aerospace & Defense,Aerospace and Defense,41500,www.arconic.com
226,Kellogg,"Food, Beverages & Tobacco",Food Consumer Products,32944,www.kelloggcompany.com
227,Las Vegas Sands,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",50500,www.sands.com
228,Stanley Black & Decker,Household Products,"Home Equipment, Furnishings",57765,www.stanleyblackanddecker.com
229,Booking Holdings,Technology,Internet Services and Retailing,22900,www.bookingholdings.com
230,Lennar,Engineering & Construction,Homebuilders,9111,www.lennar.com
231,L Brands,Retailing,Specialty Retailers: Apparel,59200,www.lb.com
232,DTE Energy,Energy,Utilities: Gas and Electric,10200,www.dteenergy.com
233,Dominion Energy,Energy,Utilities: Gas and Electric,16200,www.dominionenergy.com
234,Reinsurance Group of America,Financials,"Insurance: Life, Health (stock)",2640,www.rgare.com
235,J.C. Penney,Retailing,General Merchandisers,98e3,www.jcpenney.com
236,Mastercard,Business Services,Financial Data Services,13400,www.mastercard.com
237,BlackRock,Financials,Securities,13900,www.blackrock.com
238,Henry Schein,Wholesalers,Wholesalers: Health Care,22e3,www.henryschein.com
239,Guardian Life Ins. Co. of America,Financials,"Insurance: Life, Health (Mutual)",9283,www.guardianlife.com
240,Stryker,Health Care,Medical Products and Equipment,33e3,www.stryker.com
241,Leucadia National,Financials,Diversified Financials,12700,www.leucadia.com
242,VF,Apparel,Apparel,69e3,www.vfc.com
243,ADP,Business Services,Diversified Outsourcing Services,58e3,www.adp.com
244,Edison International,Energy,Utilities: Gas and Electric,12521,www.edisoninvestor.com
245,Biogen,Health Care,Pharmaceuticals,7300,www.biogen.com
246,United States Steel,Materials,Metals,29200,www.ussteel.com
247,Core-Mark Holding,Wholesalers,Wholesalers: Food and Grocery,8413,www.core-mark.com
248,Bed Bath & Beyond,Retailing,Specialty Retailers: Other,65e3,www.bedbathandbeyond.com
249,Oneok,Energy,Pipelines,2470,www.oneok.com
250,BB&T Corp.,Financials,Commercial Banks,36484,www.bbt.com
251,Becton Dickinson,Health Care,Medical Products and Equipment,41933,www.bd.com
252,Ameriprise Financial,Financials,Diversified Financials,13312,www.ameriprise.com
253,Farmers Insurance Exchange,Financials,Insurance: Property and Casualty (Mutual),13015,www.farmers.com
254,First Data,Business Services,Financial Data Services,22e3,www.firstdata.com
255,Consolidated Edison,Energy,Utilities: Gas and Electric,15591,www.conedison.com
256,Parker-Hannifin,Industrials,Industrial Machinery,56690,www.parker.com
257,Anadarko Petroleum,Energy,"Mining, Crude-Oil Production",4400,www.anadarko.com
258,Estee Lauder,Household Products,Household and Personal Products,46e3,www.elcompanies.com
259,State Street Corp.,Financials,Commercial Banks,36643,www.statestreet.com
260,Tesla,Motor Vehicles & Parts,Motor Vehicles and Parts,37543,www.tesla.com
261,Netflix,Technology,Internet Services and Retailing,5100,www.netflix.com
262,Alcoa,Materials,Metals,14600,www.alcoa.com
263,Discover Financial Services,Financials,Commercial Banks,16500,www.discover.com
264,Praxair,Chemicals,Chemicals,26461,www.praxair.com
265,CSX,Transportation,Railroads,24006,www.csx.com
266,Xcel Energy,Energy,Utilities: Gas and Electric,11105,www.xcelenergy.com
267,Unum Group,Financials,"Insurance: Life, Health (stock)",9400,www.unum.com
268,Universal Health Services,Health Care,Health Care: Medical Facilities,72300,www.uhsinc.com
269,NRG Energy,Energy,Energy,5940,www.nrg.com
270,EOG Resources,Energy,"Mining, Crude-Oil Production",2664,www.eogresources.com
271,Sempra Energy,Energy,Utilities: Gas and Electric,16046,www.sempra.com
272,Toys “R” Us,Retailing,Specialty Retailers: Other,65e3,www.toysrusinc.com
273,Group 1 Automotive,Retailing,"Automotive Retailing, Services",14108,www.group1auto.com
274,Entergy,Energy,Utilities: Gas and Electric,13504,www.entergy.com
275,Molson Coors Brewing,"Food, Beverages & Tobacco",Beverages,17200,www.molsoncoors.com
276,L3 Technologies,Aerospace & Defense,Aerospace and Defense,38e3,www.l3t.com
277,Ball,Materials,"Packaging, Containers",18300,www.ball.com
278,AutoZone,Retailing,Specialty Retailers: Other,70035,www.autozone.com
279,Murphy USA,Retailing,Specialty Retailers: Other,6900,www.murphyusa.com
280,MGM Resorts International,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",68500,www.mgmresorts.com
281,Office Depot,Retailing,Specialty Retailers: Other,45e3,www.officedepot.com
282,Huntsman,Chemicals,Chemicals,1e4,www.huntsman.com
283,Baxter International,Health Care,Medical Products and Equipment,47e3,www.baxter.com
284,Norfolk Southern,Transportation,Railroads,27110,www.norfolksouthern.com
285,salesforce.com,Technology,Computer Software,29e3,www.salesforce.com
286,Laboratory Corp. of America,Health Care,Health Care: Pharmacy and Other Services,6e4,www.labcorp.com
287,W.W. Grainger,Wholesalers,Wholesalers: Diversified,25050,www.grainger.com
288,Qurate Retail,Retailing,Internet Services and Retailing,28255,www.libertyinteractive.com
289,Autoliv,Motor Vehicles & Parts,Motor Vehicles and Parts,67352,www.autoliv.com
290,Live Nation Entertainment,Media,Entertainment,15050,www.livenationentertainment.com
291,Xerox,Technology,"Computers, Office Equipment",36100,www.xerox.com
292,Leidos Holdings,Technology,Information Technology Services,31e3,www.leidos.com
293,Corning,Industrials,"Electronics, Electrical Equip.",46200,www.corning.com
294,Lithia Motors,Retailing,"Automotive Retailing, Services",12899,www.lithiainvestorrelations.com
295,Expedia Group,Retailing,Internet Services and Retailing,22615,www.expediagroup.com
296,Republic Services,Business Services,Waste Management,35e3,www.republicservices.com
297,Jacobs Engineering Group,Engineering & Construction,"Engineering, Construction",49750,www.jacobs.com
298,Sonic Automotive,Retailing,"Automotive Retailing, Services",9750,www.sonicautomotive.com
299,Ally Financial,Financials,Diversified Financials,7900,www.ally.com
300,LKQ,Wholesalers,Wholesalers: Diversified,43e3,www.lkqcorp.com
301,BorgWarner,Motor Vehicles & Parts,Motor Vehicles and Parts,29e3,www.borgwarner.com
302,Fidelity National Financial,Financials,Insurance: Property and Casualty (Stock),24525,www.fnf.com
303,SunTrust Banks,Financials,Commercial Banks,23785,www.suntrust.com
304,IQVIA Holdings,Health Care,Health Care: Pharmacy and Other Services,55e3,www.iqvia.com
305,Reliance Steel & Aluminum,Materials,Metals,14900,www.rsac.com
306,Nvidia,Technology,Semiconductors and Other Electronic Components,11528,www.nvidia.com
307,Voya Financial,Financials,Diversified Financials,6300,www.voya.com
308,CenterPoint Energy,Energy,Utilities: Gas and Electric,7977,www.centerpointenergy.com
309,eBay,Technology,Internet Services and Retailing,14100,www.ebay.com
310,Eastman Chemical,Chemicals,Chemicals,14e3,www.eastman.com
311,American Family Insurance Group,Financials,Insurance: Property and Casualty (Stock),11307,www.amfam.com
312,Steel Dynamics,Materials,Metals,7635,www.steeldynamics.com
313,Pacific Life,Financials,"Insurance: Life, Health (stock)",3578,www.pacificlife.com
314,Chesapeake Energy,Energy,"Mining, Crude-Oil Production",3200,www.chk.com
315,Mohawk Industries,Household Products,"Home Equipment, Furnishings",38800,www.mohawkind.com
316,Quanta Services,Engineering & Construction,"Engineering, Construction",32800,www.quantaservices.com
317,Advance Auto Parts,Retailing,Specialty Retailers: Other,55500,www.advanceautoparts.com
318,Owens & Minor,Wholesalers,Wholesalers: Health Care,8600,www.owens-minor.com
319,United Natural Foods,Wholesalers,Wholesalers: Food and Grocery,9700,www.unfi.com
320,Tenneco,Motor Vehicles & Parts,Motor Vehicles and Parts,32e3,www.tenneco.com
321,Conagra Brands,"Food, Beverages & Tobacco",Food Consumer Products,12600,www.conagrabrands.com
322,GameStop,Retailing,Specialty Retailers: Other,39500,www.gamestop.com
323,Hormel Foods,"Food, Beverages & Tobacco",Food Consumer Products,20200,www.hormelfoods.com
324,Hilton Worldwide Holdings,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",163e3,www.hiltonworldwide.com
325,Frontier Communications,Telecommunications,Telecommunications,22736,www.frontier.com
326,Fidelity National Information Services,Business Services,Financial Data Services,53e3,www.fisglobal.com
327,Public Service Enterprise Group,Energy,Utilities: Gas and Electric,12945,www.pseg.com
328,Boston Scientific,Health Care,Medical Products and Equipment,29e3,www.bostonscientific.com
329,O’Reilly Automotive,Retailing,Specialty Retailers: Other,60365,www.oreillyauto.com
330,Charles Schwab,Financials,Securities,17600,www.aboutschwab.com
331,Global Partners,Wholesalers,Wholesalers: Diversified,2e3,www.globalp.com
332,PVH,Apparel,Apparel,28050,www.pvh.com
333,Avis Budget Group,Retailing,"Automotive Retailing, Services",26300,www.avisbudgetgroup.com
334,Targa Resources,Energy,Pipelines,2130,www.targaresources.com
335,Hertz Global Holdings,Retailing,"Automotive Retailing, Services",37e3,www.hertz.com
336,Calpine,Energy,Energy,2290,www.calpine.com
337,Mutual of Omaha Insurance,Financials,"Insurance: Life, Health (stock)",5896,www.mutualofomaha.com
338,Crown Holdings,Materials,"Packaging, Containers",24342,www.crowncork.com
339,Peter Kiewit Sons’,Engineering & Construction,"Engineering, Construction",22e3,www.kiewit.com
340,Dick’s Sporting Goods,Retailing,Specialty Retailers: Other,30300,www.dicks.com
341,PulteGroup,Engineering & Construction,Homebuilders,4810,www.pultegroupinc.com
342,Navistar International,Industrials,Construction and Farm Machinery,11400,www.navistar.com
